MSA_Name,Equilibrium_Gap_LOOCV_raw,Bias_Anchor,Residual_Equilibrium,Gap_2023_corrected,Gap_2023_RAW,Bias_2023,Deviation0,Already_Converged_2023,RD_Weight_2023
"San Francisco-Oakland-Fremont, CA",-1.3856070705544665,-0.20125263072461275,-1.1843544398298538,0.3879243954402085,0.3898904108872365,0.0019660154470289015,1.5703128198230334,False,7381092.475871479
"Spokane-Spokane Valley, WA",-0.8466625133454464,-0.4433376730454608,-0.4033248402999856,0.437814880618129,0.1060532488710634,-0.3317616317470655,1.1729013526651801,False,916138.0183068912
"Wichita, KS",-0.46392736822249203,-0.2538325949673239,-0.21009477325516812,0.5443614190958339,0.306974283391682,-0.23738713570415282,0.9918433280551548,False,3258734.404037554
"Cape Coral-Fort Myers, FL",-0.2766720857216196,-0.39033297228165154,0.11366088656003193,0.7672408470380603,0.4915442490613984,-0.27569659797666235,0.9292765584546907,False,995291.7850771972
"McAllen-Edinburg-Mission, TX",-0.7532812905645736,-0.2437849612196925,-0.5094963293448811,-0.0306835724504992,-0.4745866103694283,-0.44390303791892904,0.9227157948133109,False,243027.7995943826
"Chattanooga, TN-GA",-0.12446554873410372,-0.11953099843954096,-0.004934550294562759,0.5521447165751479,0.2333011505875113,-0.3188435659876365,0.8759228328573472,False,1207297.2618562134
"Columbia, SC",-0.2520751062627337,-0.1186698849404415,-0.1334052213222922,0.5255164049268028,0.3475639428597716,-0.1779524620670312,0.8368740883161263,False,2091318.108554995
"Bakersfield-Delano, CA",-0.19692716952470368,-0.2784933607218898,0.08156619119718611,0.7507005363000374,0.5865830866923751,-0.16411744960766184,0.8332517947105131,False,1817941.8409049297
"Buffalo-Cheektowaga, NY",0.15788728756505233,-0.0682188128912995,0.22610610045635182,0.8937508793712006,0.75081337433698,-0.14293750503421965,0.8105822839490684,False,2808667.6817324013
"El Paso, TX",0.07414104137014157,-0.127155915316862,0.20129695668700356,0.8550312543378737,0.718185751744878,-0.13684550259299577,0.790579800243866,False,1912338.4391154968
