MSA_Name,Year,Period,Available_SF_Total,Counterfactual_Space_SF,Structural_Gap,Structural_Gap_SF,Market_Category,Structural_Gap_RAW,Structural_Gap_SF_RAW,Market_Category_RAW,RD_Intensity,Adv_Ind_Emp_Share,LQ_AdvInd_Emp,LQ_RD_Intensity,Productivity,Business_Entry_Rate,Business_Exit_Rate,Young_Firm_Share,Mature_Firm_Share,interstate vmt,local vmt,total vmt,patent_count
"Akron, OH",2006,Pre-COVID (2006-2019),12149686.0,11543298.51337655,0.05119827254550913,606387.4866234493,Structurally Balanced,0.05119827254550913,606387.4866234493,Structurally Balanced,0.1330976536578333,0.08250207665751465,0.9662588180025842,0.8548925746538304,112526.59574468085,9.663,9.495,0.2784129628227455,0.3626107367305217,4248.0,3133.0,14417.0,237
"Akron, OH",2007,Pre-COVID (2006-2019),9809002.0,12609376.625517823,-0.2511401783471605,-2800374.625517823,Moderate Structural Deficit,-0.2511401783471605,-2800374.625517823,Moderate Structural Deficit,0.13163608475816893,0.08150234800479973,0.9533441883332717,0.8482121451183343,117526.01651809215,9.389,9.979,0.2773705909299129,0.3754008245533669,4166.0,3130.0,14260.0,186
"Akron, OH",2008,Pre-COVID (2006-2019),12172893.0,11648569.888665002,0.044028178305101306,524323.1113349982,Structurally Balanced,0.044028178305101306,524323.1113349982,Structurally Balanced,0.12402891369818919,0.07852112434401066,0.9133018242978851,0.802115634307943,117281.10011690199,8.236,9.698,0.2702807808975655,0.387726530294781,4008.0,3127.0,13949.0,158
"Akron, OH",2009,Pre-COVID (2006-2019),13694905.0,13432185.960001959,0.019370101622840252,262719.03999804147,Structurally Balanced,0.019370101622840252,262719.03999804147,Structurally Balanced,0.11087204860062456,0.07151299228756085,0.8537947240005355,0.7372693016260973,117765.45517244315,7.577,10.337,0.2588442452377141,0.4033936289418921,,,,193
"Akron, OH",2010,Pre-COVID (2006-2019),14794297.0,13779059.785712378,0.07109173576750294,1015237.2142876219,Structurally Balanced,0.07109173576750294,1015237.2142876219,Structurally Balanced,0.11111428520652943,0.07028483664038457,0.8439885759619651,0.7108145051108608,124630.31770733156,7.395,9.674,0.2488684058925191,0.4157682495267879,4170.481,3127.0,14713.034,216
"Akron, OH",2011,Pre-COVID (2006-2019),14840056.0,15238190.711433025,-0.026474812171493056,-398134.7114330251,Structurally Balanced,-0.026474812171493056,-398134.7114330251,Structurally Balanced,0.1174942489062261,0.07292217725278861,0.8622496482617015,0.7383140358304277,129911.80765030981,8.268,8.281,0.2424417167806244,0.4233462393936897,4133.601595,3127.0,14406.400732,224
"Akron, OH",2012,Pre-COVID (2006-2019),11617695.0,13541495.960923003,-0.15322937908100087,-1923800.960923003,Structurally Balanced,-0.15322937908100087,-1923800.960923003,Structurally Balanced,0.11573544332825256,0.0741729370590469,0.8700535719117302,0.7393590529137798,128119.26549412028,8.133,7.987,0.2378832838773491,0.4339762611275964,4172.620541,3186.0,14515.429235,248
"Akron, OH",2013,Pre-COVID (2006-2019),8970997.0,10151310.429996757,-0.12360598539169132,-1180313.4299967568,Structurally Balanced,-0.12360598539169132,-1180313.4299967568,Structurally Balanced,0.11450424004889934,0.07361316445690903,0.864065127320105,0.7391967789171776,130621.50858052891,7.639,8.29,0.2345198675496689,0.4452814569536424,,,,278
"Akron, OH",2014,Pre-COVID (2006-2019),8009947.0,7938384.070231853,0.008974407385803573,71562.92976814695,Structurally Balanced,0.008974407385803573,71562.92976814695,Structurally Balanced,0.11871960376229686,0.07403527526661435,0.8696935822128367,0.7691539974366091,138946.1060493867,8.168,7.563,0.2271486475308131,0.4533046571263132,4403.581371,3228.0,15140.509458,276
"Akron, OH",2015,Pre-COVID (2006-2019),8262554.0,6493666.673759516,0.24090639668541236,1768887.3262404837,Moderate Structural Surplus,0.24090639668541236,1768887.3262404837,Moderate Structural Surplus,0.12005669673468805,0.07673978857774168,0.8993822276910832,0.8028980504960815,141929.18136787304,8.317,7.71,0.2272463287148427,0.4610470422301502,4287.90124,3294.406,15138.440411,283
"Akron, OH",2016,Pre-COVID (2006-2019),7754277.0,6661785.106951006,0.15185707939390802,1092491.8930489942,Structurally Balanced,0.15185707939390802,1092491.8930489942,Structurally Balanced,0.12150347407382378,0.07589898832316515,0.8954681900820579,0.8389877318810106,147270.90767021943,8.754,7.316,0.2333803635156444,0.4664287492737987,4547.930163,3328.997,15209.037005,276
"Akron, OH",2017,Pre-COVID (2006-2019),7039414.0,6904261.200785804,0.019386141749565766,135152.7992141964,Structurally Balanced,0.019386141749565766,135152.7992141964,Structurally Balanced,0.11907577529898286,0.07519156668518229,0.8910537024966794,0.8183077943618924,149240.87063923004,7.242,9.18,0.2322678586488993,0.4746563211604959,4801.85181,3183.837,15397.95474,269
"Akron, OH",2018,Pre-COVID (2006-2019),6880137.0,6455748.7275733575,0.06366755508749122,424388.2724266425,Structurally Balanced,0.06366755508749122,424388.2724266425,Structurally Balanced,0.11774328941867472,0.07736061385848655,0.9023013851486121,0.8002518468140707,146851.78761302194,6.68,7.704,0.2346297554347826,0.4762228260869565,4870.88054,2376.844,14643.54715,248
"Akron, OH",2019,Pre-COVID (2006-2019),5938135.0,6249624.449640955,-0.051126262874785056,-311489.44964095484,Structurally Balanced,-0.051126262874785056,-311489.44964095484,Structurally Balanced,0.11199968854121312,0.07875130183215208,0.9092843828763172,0.7754996992825895,141363.3992103637,6.933,7.261,0.2316297991355199,0.4875836935333503,4730.17873,2177.389,14463.95235,294
"Akron, OH",2020,COVID (2020),6371741.0,6867265.064517221,-0.07489318400561018,-495524.0645172214,Structurally Balanced,-0.2002351748086486,-1412551.4859312782,Structurally Balanced,0.10419758909810918,0.07783077266922687,0.8631559572942983,0.7499668636690093,138344.11677092643,7.165,8.25,0.238034188034188,0.4862393162393162,3879.95772,2038.0,12688.98821,262
"Akron, OH",2021,COVID (2021),6688913.0,6079481.86529032,0.09553190680115442,609431.1347096805,Structurally Balanced,-0.020100882163674783,-135813.464367426,Structurally Balanced,0.11285258634974484,0.07738916855814015,0.8613247621914563,0.7819781314727619,161250.72077761608,9.74,8.621,0.2514052120592744,0.4775166070516096,4365.0,2226.0,13922.0,265
"Akron, OH",2022,Recovery (2022),5289067.0,6144713.6330639385,-0.14995028051047044,-855646.6330639385,Structurally Balanced,-0.3125134334588875,-1940327.5641326336,Moderate Structural Deficit,0.12023017711376001,0.07913192203163315,0.8716793385359618,0.8120570900118078,178319.88932316276,9.877,8.883,0.2612770943175161,0.4700811783412837,4164.0,2378.0,13698.0,209
"Akron, OH",2023,Recovery (2023),4591307.0,2695519.8429109682,0.5325736556164262,1895787.1570890318,Moderate Structural Surplus,0.3417340807337812,1329012.9237675457,Moderate Structural Surplus,0.11693253302770776,0.07925581751648468,0.8753293152112197,0.8005190444947778,181354.3173022948,8.513,8.752,0.2659547633061465,0.4699403010174052,4299.49329,2522.0,14134.4594,305
