MSA_Name,Feature,SHAP_Value
"Seattle-Tacoma-Bellevue, WA",log_Adv_Ind_Employees (t-1),0.4176137856672236
"Seattle-Tacoma-Bellevue, WA",log_Adv_Ind_Establishments (t-1),0.21531348453346325
"Seattle-Tacoma-Bellevue, WA",log_All_Avg_Wage_Per_Worker (t-1),0.005176905333266572
"Seattle-Tacoma-Bellevue, WA",log_Adv_Ind_Avg_Annual_Wages_per_Worker (t),-0.009115062022323855
"Seattle-Tacoma-Bellevue, WA",log_RD_Intensity (t-1),0.011288413343080906
"Seattle-Tacoma-Bellevue, WA",log_Adv_Ind_Emp_Share (t-1),-0.05853860467644161
"Seattle-Tacoma-Bellevue, WA",log_Adv_Ind_Wage_Premium (t-1),0.05871216363076266
"Seattle-Tacoma-Bellevue, WA",Number_of_Universities (t-1),-0.042715914710247806
"Seattle-Tacoma-Bellevue, WA",Total_R&D_Expenditure_(x1000) (t-1),0.010653893718545512
"Seattle-Tacoma-Bellevue, WA",Avg_R&D_per_Institution_(x1000) (t-1),-0.01629002538499066
"Seattle-Tacoma-Bellevue, WA",log_Productivity (t-1),-0.05942178211790607
"Seattle-Tacoma-Bellevue, WA",log_median_income (t),0.008797449345113737
"Seattle-Tacoma-Bellevue, WA",log_poverty_count (t-1),0.027538009584571227
"Seattle-Tacoma-Bellevue, WA",edu_bachelor_plus_pct (t-1),-0.06753511719230985
"Seattle-Tacoma-Bellevue, WA",CoStar_Vacancy_Rate (t-1),-0.1830935859982388
"Seattle-Tacoma-Bellevue, WA",log_CoStar_Rent_Overall (t-1),-0.14204568449042318
"Seattle-Tacoma-Bellevue, WA",CoStar_Rent_Growth_12Mo (t-1),-0.09548203752455678
"Seattle-Tacoma-Bellevue, WA",CoStar_Cap_Rate (t-1),0.004926772144334698
"Seattle-Tacoma-Bellevue, WA",CoStar_Market_Cap_Rate (t-1),0.050342729750883476
"Seattle-Tacoma-Bellevue, WA",log_CoStar_Sales_Transactions (t-1),0.03056639379617501
"Seattle-Tacoma-Bellevue, WA",LQ_RD_Expenditure (t-1),-0.006483066272720952
"Seattle-Tacoma-Bellevue, WA",log_Rent_To_AdvInd_Wage (t-1),-0.1560039377557509
"Seattle-Tacoma-Bellevue, WA",log_Business_Entry_Rate (t-1),-0.03317063982294612
"Seattle-Tacoma-Bellevue, WA",log_Business_Exit_Rate (t-1),0.0023662074170513166
"Seattle-Tacoma-Bellevue, WA",Mature_Firm_Share (t-1),-0.006910649774465085
"Seattle-Tacoma-Bellevue, WA",log_total_vmt_per_capita (t),-0.04680838206768119
"Seattle-Tacoma-Bellevue, WA",log_patent_count (t),0.04053789003172734
"Seattle-Tacoma-Bellevue, WA",log_Construction_Starts_SF_12Mo (t-1),0.16686792711327503
"Seattle-Tacoma-Bellevue, WA",log_Delivery_Intensity (t-1),-0.007743222702247302
"Seattle-Tacoma-Bellevue, WA",log_Avg_Delivered_Building_Size (t-1),-0.006626405898245526
"Seattle-Tacoma-Bellevue, WA",Months_of_Supply (t-1),-0.014576673543152107
"Seattle-Tacoma-Bellevue, WA",Year_FE,-0.06065289277292808
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",log_Adv_Ind_Employees (t-1),0.5564220561290674
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",log_Adv_Ind_Establishments (t-1),0.3483287081799655
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",log_All_Avg_Wage_Per_Worker (t-1),0.007274854324319578
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",log_Adv_Ind_Avg_Annual_Wages_per_Worker (t),-0.00833727799450464
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",log_RD_Intensity (t-1),0.011660794709620049
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",log_Adv_Ind_Emp_Share (t-1),0.01893447147350866
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",log_Adv_Ind_Wage_Premium (t-1),-0.007367161726823436
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Number_of_Universities (t-1),0.17899580594898823
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Total_R&D_Expenditure_(x1000) (t-1),-0.0020795852852433746
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Avg_R&D_per_Institution_(x1000) (t-1),-0.016632563550750257
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",log_Productivity (t-1),-0.06760902713622445
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",log_median_income (t),0.007311740825880418
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",log_poverty_count (t-1),0.3713273280966203
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",edu_bachelor_plus_pct (t-1),-0.038026822398937316
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",CoStar_Vacancy_Rate (t-1),-0.15583317109781217
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",log_CoStar_Rent_Overall (t-1),-0.17835362670365082
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",CoStar_Rent_Growth_12Mo (t-1),-0.05705382383263063
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",CoStar_Cap_Rate (t-1),0.0014225288742293653
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",CoStar_Market_Cap_Rate (t-1),0.045081030116357904
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",log_CoStar_Sales_Transactions (t-1),0.08559111983778603
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",LQ_RD_Expenditure (t-1),-0.09119682155504771
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",log_Rent_To_AdvInd_Wage (t-1),-0.053932628349912574
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",log_Business_Entry_Rate (t-1),-0.019780221434008816
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",log_Business_Exit_Rate (t-1),-0.003865327436912376
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Mature_Firm_Share (t-1),-0.008365022513630336
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",log_total_vmt_per_capita (t),-0.00816395445014135
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",log_patent_count (t),0.012338404736471137
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",log_Construction_Starts_SF_12Mo (t-1),0.2722201932218365
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",log_Delivery_Intensity (t-1),-0.007239485915864899
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",log_Avg_Delivered_Building_Size (t-1),-0.001353492367626465
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Months_of_Supply (t-1),0.01100504068301515
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Year_FE,-0.053907062656145824
"Houston-Pasadena-The Woodlands, TX",log_Adv_Ind_Employees (t-1),0.6519999558700215
"Houston-Pasadena-The Woodlands, TX",log_Adv_Ind_Establishments (t-1),0.3354279667851337
"Houston-Pasadena-The Woodlands, TX",log_All_Avg_Wage_Per_Worker (t-1),0.004867733462089231
"Houston-Pasadena-The Woodlands, TX",log_Adv_Ind_Avg_Annual_Wages_per_Worker (t),-0.003034083408601188
"Houston-Pasadena-The Woodlands, TX",log_RD_Intensity (t-1),-0.024203141617605842
"Houston-Pasadena-The Woodlands, TX",log_Adv_Ind_Emp_Share (t-1),0.001811009545903604
"Houston-Pasadena-The Woodlands, TX",log_Adv_Ind_Wage_Premium (t-1),-0.046582130710370026
"Houston-Pasadena-The Woodlands, TX",Number_of_Universities (t-1),0.16019874182016347
"Houston-Pasadena-The Woodlands, TX",Total_R&D_Expenditure_(x1000) (t-1),-0.014374037972182101
"Houston-Pasadena-The Woodlands, TX",Avg_R&D_per_Institution_(x1000) (t-1),-0.014974660457197586
"Houston-Pasadena-The Woodlands, TX",log_Productivity (t-1),-0.0749685205239018
"Houston-Pasadena-The Woodlands, TX",log_median_income (t),0.00695296770027262
"Houston-Pasadena-The Woodlands, TX",log_poverty_count (t-1),0.5110765271895633
"Houston-Pasadena-The Woodlands, TX",edu_bachelor_plus_pct (t-1),0.005686341566422145
"Houston-Pasadena-The Woodlands, TX",CoStar_Vacancy_Rate (t-1),-0.10721965822981068
"Houston-Pasadena-The Woodlands, TX",log_CoStar_Rent_Overall (t-1),-0.1354739642867049
"Houston-Pasadena-The Woodlands, TX",CoStar_Rent_Growth_12Mo (t-1),-0.053484118961276
"Houston-Pasadena-The Woodlands, TX",CoStar_Cap_Rate (t-1),0.005885988526971566
"Houston-Pasadena-The Woodlands, TX",CoStar_Market_Cap_Rate (t-1),0.04517684764519899
"Houston-Pasadena-The Woodlands, TX",log_CoStar_Sales_Transactions (t-1),0.10722208360999774
"Houston-Pasadena-The Woodlands, TX",LQ_RD_Expenditure (t-1),-0.05396472697629026
"Houston-Pasadena-The Woodlands, TX",log_Rent_To_AdvInd_Wage (t-1),0.0848998899281659
"Houston-Pasadena-The Woodlands, TX",log_Business_Entry_Rate (t-1),-0.0570887704689901
"Houston-Pasadena-The Woodlands, TX",log_Business_Exit_Rate (t-1),0.004331991259077211
"Houston-Pasadena-The Woodlands, TX",Mature_Firm_Share (t-1),0.0010799191782639227
